code,total,ninni_zahyou,kokyo_zahyou,special_chiban
20215,169961,99750,51495,18716
20217,376820,32552,283245,61023
20218,185681,57146,109743,18792
20219,123987,458,88800,34729
20220,296925,36123,218423,42379
20303,58491,154,46684,11653
20304,34890,5378,23932,5580
20305,32301,7989,19236,5076
20306,22862,22,18119,4721
20307,17524,81,13627,3816
20309,95247,1955,80090,13202
20321,91982,1545,79750,10687
20323,53084,2393,42644,8047
20324,57441,0,45005,12436
20349,41832,28896,7591,5345
20350,60925,246,52470,8209
20361,50079,45998,346,3735
20362,102105,6798,81821,13486
20363,40432,29711,7470,3251
20382,82744,25904,40872,15968
20383,79809,5426,62716,11667
20384,48394,20753,23056,4585
20385,34256,0,28658,5598
20386,45083,13160,26570,5353
20388,22047,5016,14975,2056
20402,68130,42,62034,6054
20403,60889,322,51364,9203
20404,57272,1435,48738,7099
20407,75092,817,63915,10360
20409,7716,791,5777,1148
20410,19812,0,16747,3065
20411,37118,35,31134,5949
20412,10693,235,8264,2194
20413,23858,9050,11869,2939
20414,26260,174,21876,4210
20415,44921,16,39021,5884
20416,54942,0,46426,8516
20417,27610,8186,15529,3895
20422,29882,23711,3509,2662
20423,47372,11967,28452,6953
20425,28123,2647,20561,4915
20429,14210,3072,8985,2153
20430,27664,3999,19718,3947
20432,132574,52891,65043,14640
20446,39612,30223,5267,4122
20448,49194,17553,25967,5674
20450,22581,2148,17698,2735
20451,23335,20563,1010,1762
20452,82323,62288,8912,11123
20481,63372,31053,26255,6064
